Event,Start Time,End Time,Duration (milliseconds)
Program Start,2024-03-20 15:31:30.457,,
First Relaxation Start,2024-03-20 15:31:30.465,,
First Relaxation End,2024-03-20 15:31:30.465,2024-03-20 15:31:39.459,8993
StroopTest Start,2024-03-20 15:31:39.459,,
StroopTest End,2024-03-20 15:31:39.459,2024-03-20 15:31:41.826,2367
MathTest Start,2024-03-20 15:31:41.828,,
MathTest End,2024-03-20 15:31:41.828,2024-03-20 15:31:44.723,2895
Video Feedback Start,2024-03-20 15:31:44.791,,
Video 1 Start,2024-03-20 15:31:47.313,,
Video 1 End,2024-03-20 15:31:47.313,2024-03-20 15:32:01.432,14118
Video 2 Start,2024-03-20 15:32:03.992,,
Video 2 End,2024-03-20 15:32:03.992,2024-03-20 15:32:19.924,15932
Video Feedback End,2024-03-20 15:31:44.791,2024-03-20 15:32:23.112,38321
Cold Pressure Test Start,2024-03-20 15:32:25.071,,
CPT Initial Relaxation Start,2024-03-20 15:32:25.569,,
CPT Initial Relaxation End,2024-03-20 15:32:25.569,2024-03-20 15:32:35.571,10002
CPT Test Start,2024-03-20 15:32:35.573,,
CPT Test End,2024-03-20 15:32:35.573,2024-03-20 15:32:45.576,10002
CPT Post Test Relaxation Start,2024-03-20 15:32:50.578,,
CPT Post Test Relaxation End,2024-03-20 15:32:50.578,2024-03-20 15:33:00.581,10003
Cold Pressure Test End,2024-03-20 15:32:25.071,2024-03-20 15:33:05.588,40517
Program End,2024-03-20 15:31:30.457,2024-03-20 15:33:07.723,97265
