Date Time,Relative Time,Expression,Answer,User Choice,Result,OWENSMA
10/09/2023 15:13:36,11160,28 + 71 - 94,5,5,Correct
10/09/2023 15:13:41,16265,33 + 45 + 4,82,82,Correct
10/09/2023 15:13:48,23269,14 - 25 + 58,47,47,Correct
10/09/2023 15:13:58,33168,60 + 62 - 45,77,77,Correct
10/09/2023 15:14:05,39711,53 - ( 55 - 52 ),50,50,Correct
10/09/2023 15:14:12,46683,20 / 4 / ( 3 / 6 ),10,10,Correct
10/09/2023 15:14:24,58657,62 - 6 - 11,45,45,Correct
10/09/2023 15:14:32,66327,40 + 34 - 45,29,29,Correct
10/09/2023 15:14:34,68732,77 - 77 + 44,44,44,Correct
10/09/2023 15:14:43,77893,80 - ( 43 + 28 ),9,9,Correct
10/09/2023 15:14:50,84855,24 - 18 + 70 + 9 - 20,65,65,Correct
10/09/2023 15:14:58,92497,( 73 + 15 ) / 22 + 33,37,37,Correct
10/09/2023 15:14:59,94072,96 - ( 87 - 64 ),73,23,Incorrect
10/09/2023 15:15:00,94596,80 + 65 - 82,63,78,Incorrect
