Start Time,Total Questions,Total Correct,Total Wrong,Min Operation,Max Operation,PPP
10/03/2023 18:32:51,6,1,5,2,6
Date Time,Relative Time,Expression,Answer,User Choice,Result,PPP
10/03/2023 18:32:57,5592,97 - ( 39 + 21 ),37,64,Incorrect
10/03/2023 18:32:58,6360,43 - 21 + 44 + 8,74,38,Incorrect
10/03/2023 18:32:58,7059,9 / 3 - 8 / ( 16 - 19 ) * 24,67,55,Incorrect
10/03/2023 18:32:59,8175,63 + 48 - 68,43,70,Incorrect
10/03/2023 18:33:00,8791,10 + 28 - 6,32,81,Incorrect
10/03/2023 18:33:01,9675,66 - ( 19 - 10 ),57,57,Correct
Start Time,Total Questions,Total Correct,Total Wrong,Min Operation,Max Operation,PPP
10/03/2023 18:32:51,6,1,5,2,6
